Timestamp,Open,High,Low,Close,Volume_(BTC),Volume_(Currency),Weighted_Price
1774900934,66432.346364874,66432.346364874,66432.346364874,66432.346364874,0.0,0.0,66432.346364874
1774904400,66587.99024414114,66587.99024414114,66587.99024414114,66587.99024414114,0.0,0.0,66587.99024414114
1774908115,66757.19246041842,66757.19246041842,66757.19246041842,66757.19246041842,0.0,0.0,66757.19246041842
1774911754,66734.19561943135,66734.19561943135,66734.19561943135,66734.19561943135,0.0,0.0,66734.19561943135
1774915251,66699.27436893585,66699.27436893585,66699.27436893585,66699.27436893585,0.0,0.0,66699.27436893585
1774918959,67091.7699360093,67091.7699360093,67091.7699360093,67091.7699360093,0.0,0.0,67091.7699360093
1774922593,67930.29873609915,67930.29873609915,67930.29873609915,67930.29873609915,0.0,0.0,67930.29873609915
1774926188,67945.39135718174,67945.39135718174,67945.39135718174,67945.39135718174,0.0,0.0,67945.39135718174
1774929752,67646.52741376395,67646.52741376395,67646.52741376395,67646.52741376395,0.0,0.0,67646.52741376395
1774933217,67488.81448012279,67488.81448012279,67488.81448012279,67488.81448012279,0.0,0.0,67488.81448012279
1774937014,67618.1466100619,67618.1466100619,67618.1466100619,67618.1466100619,0.0,0.0,67618.1466100619
1774940587,67449.74316002423,67449.74316002423,67449.74316002423,67449.74316002423,0.0,0.0,67449.74316002423
1774944127,67299.23356164555,67299.23356164555,67299.23356164555,67299.23356164555,0.0,0.0,67299.23356164555
1774947710,66756.23307911558,66756.23307911558,66756.23307911558,66756.23307911558,0.0,0.0,66756.23307911558
1774951351,66037.9769355128,66037.9769355128,66037.9769355128,66037.9769355128,0.0,0.0,66037.9769355128
1774954965,66302.74182544308,66302.74182544308,66302.74182544308,66302.74182544308,0.0,0.0,66302.74182544308
1774958568,66620.01251485397,66620.01251485397,66620.01251485397,66620.01251485397,0.0,0.0,66620.01251485397
1774962125,66608.17879412256,66608.17879412256,66608.17879412256,66608.17879412256,0.0,0.0,66608.17879412256
1774965761,67163.45267766963,67163.45267766963,67163.45267766963,67163.45267766963,0.0,0.0,67163.45267766963
1774969215,66558.38670829509,66558.38670829509,66558.38670829509,66558.38670829509,0.0,0.0,66558.38670829509
1774972935,66698.35856220762,66698.35856220762,66698.35856220762,66698.35856220762,0.0,0.0,66698.35856220762
